fromNode	toNode	length	capacity	w	spdlimit_c	spdlimit_t  spd_range_c1 spd_range_c2 spd_range_t1 spd_range_t2
1	2	4246	4545	30	120	80  0.8 1.1 1   1
1	12	4603	4454	30	120	80  0.8 1.1 1   1
2	1	4246	4545	30	120	80  0.8 1.1 1   1
2	3	7553	4545	30	120	80  0.8 1.1 1   1
2	7	3616	1350	30	80	80  0.8 1.1 1   1
3	2	7553	4545	30	120	80  0.8 1.1 1   1
3	4	5134	4545	30	120	80  0.8 1.1 1   1
3	6	5781	1350	30	80	80  0.8 1.1 1   1
4	3	5134	4545	30	120	80  0.8 1.1 1   1
4	5	4492	4545	30	120	80  0.8 1.1 1   1
5	4	4492	4545	30	120	80  0.8 1.1 1   1
5	11	4433	4545	30	130	80  0.8 1.1 1   1
6	3	5781	1350	30	80	80  0.8 1.1 1   1
6	10	4338	1350	30	80	80  0.8 1.1 1   1
7	2	3616	1350	30	80	80  0.8 1.1 1   1
7	8	1109	900	30	50	50  0.8 1.1 1   1
8	7	1109	900	30	50	50  0.8 1.1 1   1
8	9	5525	1300	30	80	80  0.8 1.1 1   1
9	8	5525	1300	30	80	80  0.8 1.1 1   1
9	10	2645	3200	30	80	80  0.8 1.1 1   1
9	14	6478	3200	30	80	80  0.8 1.1 1   1
10	6	4338	1350	30	80	80  0.8 1.1 1   1
10	9	2645	3200	30	80	80  0.8 1.1 1   1
10	11	2643	3200	30	80	80  0.8 1.1 1   1
11	5	4433	4545	30	130	80  0.8 1 1   1
11	10	2643	3200	30	80	80  0.8 1.1 1   1
11	15	7007	4545	30	130	80  0.8 1.1 1   1
12	1	4603	4454	30	120	80  0.8 1.1 1   1
12	13	6446	4545	30	120	80  0.8 1.1 1   1
13	12	6446	4545	30	120	80  0.8 1.1 1   1
13	14	10824	3800	30	100	80  0.8 1.1 1   1
14	9	6478	3200	30	80	80  0.8 1.1 1   1
14	13	10824	3800	30	100	80  0.8 1.1 1   1
14	15	6883	2400	30	50	50  0.8 1.1 1   1
14	18	6562	3200	30	80	80  0.8 1.1 1   1
15	11	7007	4545	30	130	80  0.8 1.1 1   1
15	14	6883	2400	30	50	50  0.8 1.1 1   1
15	16	4994	6553	30	130	80  0.8 1.1 1   1
16	15	4994	6553	30	130	80  0.8 1.1 1   1
16	17	1548	6553	30	130	80  0.8 1.1 1   1
17	16	1548	6553	30	130	80  0.8 1.1 1   1
17	18	1248	6422	30	120	80  0.8 1.1 1   1
18	14	6562	2400	30	80	80  0.8 1.1 1   1
18	17	1248	6422	30	120	80  0.8 1.1 1   1
